currency,to_euro,to_isl,date
USD,0.88292,3.1043,1/1/2022
USD,0.88292,3.1043,1/2/2022
USD,0.88067,3.0946,1/3/2022
USD,0.8866,3.095,1/4/2022
USD,0.88347,3.0912,1/5/2022
USD,0.88378,3.1151,1/6/2022
USD,0.88511,3.1098,1/7/2022
USD,0.88511,3.1098,1/8/2022
USD,0.88511,3.1098,1/9/2022
USD,0.88355,3.1192,1/10/2022
USD,0.88215,3.1307,1/11/2022
USD,0.87951,3.114,1/12/2022
USD,0.87237,3.109,1/13/2022
USD,0.87359,3.1069,1/14/2022
USD,0.87359,3.1069,1/15/2022
USD,0.87359,3.1069,1/16/2022
USD,0.87696,3.1114,1/17/2022
USD,0.87974,3.1281,1/18/2022
USD,0.88145,3.1317,1/19/2022
USD,0.88199,3.1367,1/20/2022
USD,0.88121,3.1431,1/21/2022
USD,0.88121,3.1431,1/22/2022
USD,0.88121,3.1431,1/23/2022
USD,0.88464,3.1711,1/24/2022
USD,0.88747,3.1858,1/25/2022
USD,0.88676,3.1776,1/26/2022
USD,0.89606,3.1985,1/27/2022
USD,0.89783,3.205,1/28/2022
USD,0.89783,3.205,1/29/2022
USD,0.89783,3.205,1/30/2022
USD,0.89638,3.1947,1/31/2022
USD,0.8881,3.167,2/1/2022
USD,0.88316,3.1597,2/2/2022
USD,0.88605,3.1853,2/3/2022
USD,0.8723,3.2049,2/4/2022
USD,0.8723,3.2049,2/5/2022
USD,0.8723,3.2049,2/6/2022
USD,0.87359,3.1927,2/7/2022
USD,0.87658,3.2217,2/8/2022
USD,0.87451,3.2197,2/9/2022
USD,0.8742,3.2167,2/10/2022
USD,0.87589,3.2371,2/11/2022
USD,0.87589,3.2371,2/12/2022
USD,0.87589,3.2371,2/13/2022
USD,0.8837,3.2551,2/14/2022
USD,0.88145,3.2257,2/15/2022
USD,0.87935,3.1882,2/16/2022
USD,0.87951,3.1865,2/17/2022
USD,0.88075,3.195,2/18/2022
USD,0.88075,3.195,2/19/2022
USD,0.88075,3.195,2/20/2022
USD,0.88199,3.2134,2/21/2022
USD,0.88168,3.2255,2/22/2022
USD,0.88152,3.2189,2/23/2022
USD,0.89582,3.2803,2/24/2022
USD,0.89158,3.2444,2/25/2022
USD,0.89158,3.2444,2/26/2022
USD,0.89158,3.2444,2/27/2022
USD,0.89294,3.2414,2/28/2022
USD,0.8959,3.2388,3/1/2022
USD,0.90041,3.2373,3/2/2022
USD,0.90285,3.2387,3/3/2022
USD,0.915,3.2577,3/4/2022
USD,0.915,3.2577,3/5/2022
USD,0.915,3.2577,3/6/2022
USD,0.91785,3.2724,3/7/2022
USD,0.91811,3.3072,3/8/2022
USD,0.90967,3.2728,3/9/2022
USD,0.9022,3.2677,3/10/2022
USD,0.90992,3.2469,3/11/2022
USD,0.90992,3.2469,3/12/2022
USD,0.90992,3.2469,3/13/2022
USD,0.91241,3.2719,3/14/2022
USD,0.90984,3.2834,3/15/2022
USD,0.90959,3.2629,3/16/2022
USD,0.9049,3.2374,3/17/2022
USD,0.90843,3.2486,3/18/2022
USD,0.90843,3.2486,3/19/2022
USD,0.90843,3.2486,3/20/2022
USD,0.90596,3.2286,3/21/2022
USD,0.90711,3.2222,3/22/2022
USD,0.91033,3.2232,3/23/2022
USD,0.91091,3.2302,3/24/2022
USD,0.90893,3.2131,3/25/2022
USD,0.90893,3.2131,3/26/2022
USD,0.90893,3.2131,3/27/2022
USD,0.91191,3.2202,3/28/2022
USD,0.90212,3.203,3/29/2022
USD,0.8988,3.1816,3/30/2022
USD,0.90082,3.1748,3/31/2022
USD,0.90481,3.1953,4/1/2022
USD,0.90481,3.1953,4/2/2022
USD,0.90481,3.1953,4/3/2022
USD,0.90868,3.2087,4/4/2022
USD,0.91166,3.2047,4/5/2022
USD,0.9155,3.2225,4/6/2022
USD,0.91609,3.23,4/7/2022
USD,0.92073,3.2235,4/8/2022
USD,0.92073,3.2235,4/9/2022
USD,0.92073,3.2235,4/10/2022
USD,0.91743,3.2119,4/11/2022
USD,0.92073,3.22,4/12/2022
USD,0.9237,3.2128,4/13/2022
USD,0.91929,3.2079,4/14/2022
USD,0.91929,3.2079,4/15/2022
USD,0.91929,3.2079,4/16/2022
USD,0.91929,3.2079,4/17/2022
USD,0.91929,3.2079,4/18/2022
USD,0.92567,3.2434,4/19/2022
USD,0.92336,3.2233,4/20/2022
USD,0.91853,3.2289,4/21/2022
USD,0.92447,3.2623,4/22/2022
USD,0.92447,3.2623,4/23/2022
USD,0.92447,3.2623,4/24/2022
USD,0.93058,3.2855,4/25/2022
USD,0.93686,3.2928,4/26/2022
USD,0.94491,3.324,4/27/2022
USD,0.95374,3.3473,4/28/2022
USD,0.94877,3.32,4/29/2022
USD,0.94877,3.32,4/30/2022
USD,0.94877,3.32,5/1/2022
USD,0.95021,3.3521,5/2/2022
USD,0.94733,3.3722,5/3/2022
USD,0.94958,3.3698,5/4/2022
USD,0.94625,3.3986,5/5/2022
USD,0.94607,3.4026,5/6/2022
USD,0.94607,3.4026,5/7/2022
USD,0.94607,3.4026,5/8/2022
USD,0.94706,3.432,5/9/2022
USD,0.94751,3.4666,5/10/2022
USD,0.9476,3.4254,5/11/2022
USD,0.9608,3.4571,5/12/2022
USD,0.96293,3.4267,5/13/2022
USD,0.96293,3.4267,5/14/2022
USD,0.96293,3.4267,5/15/2022
USD,0.95951,3.4038,5/16/2022
USD,0.94868,3.3571,5/17/2022
USD,0.9503,3.3508,5/18/2022
USD,0.95012,3.3846,5/19/2022
USD,0.94545,3.3403,5/20/2022
USD,0.94545,3.3403,5/21/2022
USD,0.94545,3.3403,5/22/2022
USD,0.93817,3.3535,5/23/2022
USD,0.93284,3.344,5/24/2022
USD,0.93844,3.3643,5/25/2022
USD,0.93484,3.3594,5/26/2022
USD,0.93266,3.3548,5/27/2022
USD,0.93266,3.3548,5/28/2022
USD,0.93266,3.3548,5/29/2022
USD,0.92902,3.3187,5/30/2022
USD,0.93345,3.3367,5/31/2022
USD,0.93353,3.331,6/1/2022
USD,0.93528,3.3394,6/2/2022
USD,0.93197,3.3319,6/3/2022
USD,0.93197,3.3319,6/4/2022
USD,0.93197,3.3319,6/5/2022
USD,0.93231,3.3281,6/6/2022
USD,0.93791,3.3447,6/7/2022
USD,0.93119,3.3381,6/8/2022
USD,0.93084,3.3379,6/9/2022
USD,0.94536,3.3679,6/10/2022
USD,0.94536,3.3679,6/11/2022
USD,0.94536,3.3679,6/12/2022
USD,0.95648,3.4428,6/13/2022
USD,0.95675,3.4642,6/14/2022
USD,0.95868,3.4519,6/15/2022
USD,0.96154,3.4552,6/16/2022
USD,0.95365,3.4438,6/17/2022
USD,0.95365,3.4438,6/18/2022
USD,0.95365,3.4438,6/19/2022
USD,0.95084,3.4601,6/20/2022
USD,0.94787,3.4602,6/21/2022
USD,0.95048,3.4628,6/22/2022
